opcode_hex,mnemonic,address_mode,bytes,base_cycles,microcode_source,associated_tests,status
36,ROL,ZPG_X,2,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
37,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
38,SEC,IMP,1,2,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
39,AND,ABS_Y,3,4,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
3A,DEA,ACC,1,2,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
3B,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
3C,BIT,ABS_X,3,4,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
3D,AND,ABS_X,3,4,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
3E,ROL,ABS_X,3,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
3F,NOP,IMP,1,1,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
40,RTI,IMP,1,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
41,EOR,IND_X,2,6,src/core/cpu/cpu8/Cpu65c02Opcode.java + src/core/cpu/cpu8/Cpu65c02Microcode.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02MicrocodeTest; test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileAllNonNopsAreRuntimeMicroQueued,PASS
42,NOP,IMP,2,2,docs/cmd_g65sc02_page9_nops_measured_cycles.csv + src/core/cpu/cpu8/Cpu65c02Cmd.java,test.cpu.Cpu65c02ProfileMicrocodeCoverageTest#cmdProfileNopOpcodesMatchMicrocodeCycleCount; test.cpu.Cpu65c02CycleTimingTest#cmdProfileAllMeasuredNopCyclesMatchHardwareTable,PASS
