opcode_hex,java_mnemonic,java_mode,java_bytes,java_base_cycles,wdc_token,wdc_mnemonic_guess,mnemonic_match_guess,spec_mnemonic_ref,spec_mode_ref,spec_cycles_ref,cycle_compare,overall_compare
C0,CPY,IMM,2,2,cpy_imm,CPY,yes,CPY,IMM,2,match,match
C1,CMP,IND_X,2,6,cmp_s_idx,CMP,yes,CMP,IND_X,6,match,match
C2,NOP,IMP,2,2,nop_imm,NOP,yes,NOP,IMM,2,match,match
C3,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
C4,CPY,ZPG,2,3,cpy_zpg,CPY,yes,CPY,ZPG,3,match,match
C5,CMP,ZPG,2,3,cmp_zpg,CMP,yes,CMP,ZPG,3,match,match
C6,DEC,ZPG,2,5,dec_s_zpg,DEC,yes,DEC,ZPG,5,match,match
C7,NOP,IMP,1,1,smb_bzp,SMB,no,NOP,IMP,1,match,mismatch
C8,INY,IMP,1,2,iny_imp,INY,yes,INY,IMP,2,match,match
C9,CMP,IMM,2,2,cmp_imm,CMP,yes,CMP,IMM,2,match,match
CA,DEX,IMP,1,2,dex_imp,DEX,yes,DEX,IMP,2,match,match
CB,NOP,IMP,1,1,wai_imp,WAI,no,NOP,IMP,1,match,mismatch
CC,CPY,ABS,3,4,cpy_aba,CPY,yes,CPY,ABS,4,match,match
CD,CMP,ABS,3,4,cmp_aba,CMP,yes,CMP,ABS,4,match,match
CE,DEC,ABS,3,6,dec_c_aba,DEC,yes,DEC,ABS,6,match,match
CF,NOP,IMP,1,1,bbs_zpb,BBS,no,NOP,IMP,1,match,mismatch
D0,BNE,REL,2,2,bne_rel,BNE,yes,BNE,REL,1/3,match,match
D1,CMP,IND_Y,2,5,cmp_s_idy,CMP,yes,CMP,IND_Y,3/6,match,match
D2,CMP,ZPG_IND,2,5,cmp_zpi,CMP,yes,CMP,ZPG_IND,5,match,match
D3,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
D4,NOP,IMP,2,4,nop_s_zpx,NOP,yes,NOP,ZPG_X,4,match,match
D5,CMP,ZPG_X,2,4,cmp_s_zpx,CMP,yes,CMP,ZPG_X,4,match,match
D6,DEC,ZPG_X,2,6,dec_s_zpx,DEC,yes,DEC,ZPG_X,6,match,match
D7,NOP,IMP,1,1,smb_bzp,SMB,no,NOP,IMP,1,match,mismatch
D8,CLD,IMP,1,2,cld_imp,CLD,yes,CLD,IMP,2,match,match
D9,CMP,ABS_Y,3,4,cmp_s_aby,CMP,yes,CMP,ABS_Y,2/5,match,match
DA,PHX,IMP,1,3,phx_imp,PHX,yes,PHX,IMP,3,match,match
DB,NOP,IMP,1,1,stp_imp,STP,no,NOP,IMP,1,match,mismatch
DC,NOP,IMP,3,4,nop_s_abx,NOP,yes,NOP,ABS_X,4,match,match
DD,CMP,ABS_X,3,4,cmp_s_abx,CMP,yes,CMP,ABS_X,2/5,match,match
DE,DEC,ABS_X,3,6,dec_s_abx,DEC,yes,DEC,ABS_X,7,mismatch,mismatch
DF,NOP,IMP,1,1,bbs_zpb,BBS,no,NOP,IMP,1,match,mismatch
